"State","County","RuralUrbanContinuum1993"
"GA","321",6
"HI","001",5
"HI","003",2
"HI","005",5
"HI","007",5
"HI","009",5
"ID","001",2
"ID","003",9
"ID","005",5
"ID","007",7
"ID","009",8
"ID","011",7
"ID","013",7
"ID","015",8
"ID","017",6
"ID","019",5
"ID","021",9
"ID","023",9
"ID","025",9
"ID","027",2
"ID","029",7
"ID","031",7
"ID","033",9
"ID","035",7
"ID","037",9
"ID","039",6
"ID","041",7
"ID","043",7
"ID","045",6
"ID","047",7
"ID","049",7
"ID","051",7
"ID","053",7
"ID","055",4
"ID","057",7
"ID","059",7
"ID","061",9
"ID","063",9
"ID","065",7
"ID","067",7
"ID","069",5
"ID","071",9
"ID","073",8
"ID","075",7
"ID","077",7
"ID","079",7
"ID","081",9
"ID","083",5
"ID","085",9
"ID","087",7
"IL","001",5
"IL","003",7
"IL","005",6
"IL","007",2
"IL","009",9
"IL","011",7
"IL","013",8
"IL","015",7
"IL","017",6
"IL","019",3
"IL","021",6
"IL","023",6
"IL","025",7
"IL","027",1
"IL","029",5
"IL","031",0
"IL","033",7
"IL","035",9
"IL","037",1
"IL","039",6
"IL","041",6
"IL","043",0
"IL","045",6
"IL","047",9
"IL","049",7
"IL","051",6
"IL","053",6
"IL","055",7
"IL","057",6
"IL","059",8
"IL","061",6
"IL","063",1
"IL","065",7
"IL","067",7
"IL","069",9
"IL","071",9
"IL","073",2
"IL","075",6
"IL","077",5
"IL","079",7
"IL","081",7
"IL","083",1
"IL","085",6
"IL","087",9
"IL","089",0
"IL","091",3
"IL","093",1
"IL","095",4
"IL","097",0
"IL","099",4
"IL","101",7
"IL","103",7
"IL","105",6
"IL","107",6
"IL","109",5
"IL","111",0
"IL","113",3
"IL","115",3
"IL","117",6
"IL","119",0
"IL","121",7
"IL","123",6
"IL","125",6
"IL","127",7
"IL","129",3
"IL","131",6
"IL","133",1
"IL","135",6
"IL","137",4
"IL","139",6
"IL","141",2
"IL","143",2
"IL","145",7
"IL","147",6
"IL","149",7
"IL","151",9
"IL","153",9
"IL","155",9
"IL","157",6
"IL","159",7
"IL","161",2
"IL","163",0
"IL","165",7
"IL","167",3
"IL","169",7
"IL","171",9
"IL","173",6
"IL","175",8
"IL","177",4
"IL","179",2
"IL","181",7
"IL","183",4
"IL","185",7
"IL","187",7
"IL","189",6
"IL","191",7
"IL","193",6
"IL","195",4
"IL","197",0
"IL","199",5
"IL","201",2
"IL","203",2
"IN","001",2
"IN","003",2
"IN","005",4
"IN","007",8
"IN","009",6
"IN","011",1
"IN","013",8
"IN","015",6
"IN","017",6
"IN","019",2
"IN","021",3
"IN","023",3
"IN","025",8
"IN","027",7
"IN","029",1
"IN","031",6
"IN","033",2
"IN","035",3
"IN","037",7
"IN","039",3
"IN","041",7
"IN","043",2
"IN","045",6
"IN","047",6
"IN","049",7
"IN","051",6
"IN","053",4
"IN","055",6
"IN","057",0
"IN","059",1
"IN","061",2
"IN","063",1
"IN","065",6
"IN","067",3
"IN","069",2
"IN","071",7
"IN","073",6
"IN","075",6
"IN","077",6
"IN","079",7
"IN","081",0
"IN","083",5
"IN","085",6
"IN","087",8
"IN","089",0
"IN","091",4
"IN","093",6
"IN","095",3
"IN","097",0
"IN","099",6
"IN","101",7
"IN","103",6
"IN","105",3
"IN","107",6
"IN","109",1
"IN","111",8
"IN","113",6
"IN","115",1
"IN","117",7
"IN","119",6
"IN","121",6
"IN","123",7
"IN","125",8
"IN","127",1
"IN","129",2
"IN","131",9
"IN","133",6
"IN","135",6
"IN","137",6
"IN","139",6
"IN","141",3
"IN","143",2
"IN","145",1
"IN","147",8
"IN","149",6
"IN","151",6
"IN","153",6
"IN","155",8
"IN","157",3
"IN","159",3
"IN","161",8
"IN","163",2
"IN","165",3
"IN","167",3
"IN","169",7
"IN","171",8
"IN","173",2
"IN","175",6
"IN","177",5
"IN","179",2
"IN","181",6
"IN","183",2
"IA","001",8
"IA","003",9
"IA","005",7
"IA","007",7
"IA","009",7
"IA","011",6
"IA","013",3
"IA","015",6
"IA","017",6
"IA","019",6
"IA","021",7
"IA","023",8
"IA","025",9
"IA","027",7
"IA","029",6
"IA","031",6
"IA","033",5
"IA","035",7
"IA","037",7
"IA","039",6
"IA","041",7
"IA","043",8
"IA","045",4
"IA","047",7
"IA","049",2
"IA","051",7
"IA","053",9
"IA","055",6
"IA","057",5
"IA","059",7
"IA","061",3
"IA","063",7
"IA","065",6
"IA","067",7
"IA","069",7
"IA","071",9
"IA","073",7
"IA","075",8
"IA","077",8
"IA","079",7
"IA","081",7
"IA","083",7
"IA","085",6
"IA","087",7
"IA","089",7
"IA","091",7
