Schema,Extension,Ext Recode
28,"420,465,470,560",2
28,"600,620",2
28,"580,645",2
28,"630,631,632,638,639",2
28,640,2
28,643,7
28,"440,650",2
28,"660,665",2
28,"635,670,675",2
28,700,2
28,"750,755",7
28,"760,765,770,780",2
28,"800,810",7
28,950,9
28,999,9
47,000,0
47,100,1
47,"110,115",1
47,"120,125",1
47,200,1
47,"210,220",1
47,230,1
47,250,1
47,300,1
47,400,2
47,"410,420",2
47,430,2
47,440,2
47,450,2
47,455,2
47,460,2
47,465,2
47,500,2
47,520,2
47,"530,540",2
47,550,2
47,560,2
47,570,2
47,590,2
47,600,2
47,610,2
47,"650,680",1
47,"700,705",2
47,710,2
47,720,7
47,730,2
47,"740,745,748",2
47,750,7
47,760,7
47,770,7
47,780,7
47,785,7
47,790,7
47,"795,810",7
47,800,7
47,950,9
47,980,9
47,999,9
92,"100,105",9
92,"110,115",9
92,"120,125",9
92,150,9
92,200,9
92,210,9
92,220,9
92,230,9
92,"300,305",9
92,"310,315",9
92,"320,325",9
92,"330,335",9
92,350,9
92,500,9
92,"700,710,720,730,750",9
92,"800,805",9
92,"989,999",9
55,100,9
55,"110,120",9
55,"130,150",9
55,"200,210",9
55,220,9
55,230,9
55,250,9
55,300,9
55,500,9
55,"550,600",9
55,700,9
55,"730,740,750",9
55,800,9
55,950,9
55,999,9
39,000,0
39,100,1
39,"300,725",1
39,"320,325,365,400",2
39,"500,510,600",2
39,650,2
39,"660,665",2
39,"670,675",2
39,"680,685,690",2
39,"700,710,740",2
39,"750,790,810,815",2
39,800,7
39,950,9
39,999,9
54,000,0
54,100,1
54,200,1
54,"300,310,315,320,330,335,340,350,355,360,370,375,380",1
54,400,1
54,500,2
54,800,7
54,950,9
54,999,9
82,000,0
82,150,1
82,160,1
82,"170,180,225,235,275,285,325,335",2
82,"205,215,220",1
82,"240,245,255",1
82,"260,265",1
82,280,1
82,295,1
82,"300,305,315,345",1
82,"405,415,420",1
82,"425,435",2
82,"440,445,640",1
82,460,2
82,480,2
82,"635,660",2
82,680,2
82,800,7
82,950,9
82,999,9
79,000,0
79,005,2
79,100,1
79,120,1
79,"150,310,315,320,330",1
79,300,1
79,"335,400",2
79,"410,415,425",2
79,"420,430,435",2
79,"440,445,450,485,490,500",1
79,"460,470,475",2
79,"700,710",2
79,"720,730,750,810",2
79,800,7
79,950,9
79,999,9
81,000,0
81,100,1
81,110,1
81,130,1
81,"140,160",1
81,180,2
81,"210,215",1
81,220,1
81,230,1
81,"235,285",2
81,"240,245,265,295",1
81,"300,315,345",1
81,"335,435",2
81,"410,415",1
