Histology,Primary Site,EOD 4dig Ext,EOD 4dig Nodes,Stage
"8000-9134,9141-9589","239,248-249",9,"0,9",9
"8000-9134,9141-9589",240,0,0-9,0
"8000-9134,9141-9589",240,1-3,"0,9",1
"8000-9134,9141-9589",240,4-6,"0,9",2
"8000-9134,9141-9589",240,"1-3,9","1,8",2
"8000-9134,9141-9589",240,4-6,"1,8",2
"8000-9134,9141-9589",240,8,"0-1,6-9",4
"8000-9134,9141-9589",240,"1-6,9",6-7,4
"8000-9134,9141-9589",240,9,"0,9",9
"8000-9134,9141-9589",250-259,0,0-9,0
"8000-9134,9141-9589",250-259,"1,3","0,9",1
"8000-9134,9141-9589",250-259,4-6,"0,9",2
"8000-9134,9141-9589",250-259,"1,3,9","1,5,8",2
"8000-9134,9141-9589",250-259,4-6,"1,5,8",2
"8000-9134,9141-9589",250-259,7-8,"0-3,5,7-9",4
"8000-9134,9141-9589",250-259,"1,3-6,9","2-3,7",4
"8000-9134,9141-9589",250-259,9,"0,9",9
"8000-9134,9141-9589",260-269,0,0-9,0
"8000-9134,9141-9589",260-269,"1,3","0,9",1
"8000-9134,9141-9589",260-269,4,"0,9",2
"8000-9134,9141-9589",260-269,"1,3,9","1,8",2
"8000-9134,9141-9589",260-269,4,"1,8",2
"8000-9134,9141-9589",260-269,"1,3-4,9",7,4
"8000-9134,9141-9589",260-269,8,"0-1,7-9",4
"8000-9134,9141-9589",260-269,9,"0,9",9
"8000-9134,9141-9589",300-301,0,0-9,0
"8000-9134,9141-9589",300-301,"1,3","0,9",1
"8000-9134,9141-9589",300-301,4,"0,9",2
"8000-9134,9141-9589",300-301,"1,3,9","1,8",2
"8000-9134,9141-9589",300-301,4,"1,8",2
"8000-9134,9141-9589",300-301,"1,3-4,9",7,4
"8000-9134,9141-9589",300-301,8,"0-1,7-9",4
"8000-9134,9141-9589",300-301,9,"0,9",9
"8000-9134,9141-9589",310-319,0,0-9,0
"8000-9134,9141-9589",310-319,"1,3","0,9",1
"8000-9134,9141-9589",310-319,"4,7","0,9",2
"8000-9134,9141-9589",310-319,"1,3,9","1,8",2
"8000-9134,9141-9589",310-319,"4,7","1,8",2
"8000-9134,9141-9589",310-319,8,"0-1,6-9",4
"8000-9134,9141-9589",310-319,"1,3-4,7,9",6-7,4
"8000-9134,9141-9589",310-319,9,"0,9",9
"8000-9134,9141-9589",320,0,0-9,0
"8000-9134,9141-9589",320,"1,4","0,9",1
"8000-9134,9141-9589",320,"2-3,7","0,9",2
"8000-9134,9141-9589",320,"1,4,9","1,6,8",2
"8000-9134,9141-9589",320,"2-3,7","1,6,8",2
"8000-9134,9141-9589",320,8,"0-1,6-9",4
"8000-9134,9141-9589",320,"1-4,7,9",7,4
"8000-9134,9141-9589",320,9,"0,9",9
"8000-9134,9141-9589",321,0,0-9,0
"8000-9134,9141-9589",321,"1-2,5","0,9",1
"8000-9134,9141-9589",321,"3-4,6-7","0,9",2
"8000-9134,9141-9589",321,"1-2,5,9","1,6,8",2
"8000-9134,9141-9589",321,"3-4,6-7","1,6,8",2
"8000-9134,9141-9589",321,"1-7,9",7,4
"8000-9134,9141-9589",321,8,"0-1,6-9",4
"8000-9134,9141-9589",321,9,"0,9",9
"8000-9134,9141-9589",322,0,0-9,0
"8000-9134,9141-9589",322,"1,3","0,9",1
"8000-9134,9141-9589",322,"2,5-7","0,9",2
"8000-9134,9141-9589",322,"1,3,9","1,6,8",2
"8000-9134,9141-9589",322,"2,5-7","1,6,8",2
