ICD-9-CM-CODE,ICD-O-3-PRIMARY-SITE,HISTOLOGY,BEHAVIOR,GRADE,LATERALITY,REPORTABILITY,GENDER
1729,C449,8720,3,9,0,Y,
1730,C440,8000,3,9,0,O,
1731,C441,8000,3,9,0,O,
1732,C442,8000,3,9,0,O,
1733,C443,8000,3,9,0,O,
1734,C444,8000,3,9,0,O,
1735,C445,8000,3,9,0,O,
1736,C446,8000,3,9,0,O,
1737,C447,8000,3,9,0,O,
1738,C448,8000,3,9,0,O,
1739,C449,8000,3,9,0,O,
1740,C500,8000,3,9,9,Y,
1741,C501,8000,3,9,9,Y,
1742,C502,8000,3,9,9,Y,
1743,C503,8000,3,9,9,Y,
1744,C504,8000,3,9,9,Y,
1745,C505,8000,3,9,9,Y,
1746,C506,8000,3,9,9,Y,
1748,C508,8000,3,9,9,Y,
1749,C509,8000,3,9,9,Y,
1750,C500,8000,3,9,9,Y,
1759,C509,8000,3,9,9,Y,
1760,C449,9140,3,9,0,Y,
1761,C499,9140,3,9,0,Y,
1762,C059,9140,3,9,0,Y,
1763,C269,9140,3,9,0,Y,
1764,C349,9140,3,9,0,Y,
1765,C779,9140,3,9,0,Y,
1768,C767,9140,3,9,0,Y,
1769,C809,9140,3,9,0,Y,
179,C559,8000,3,9,0,Y,
1800,C530,8000,3,9,0,Y,
1801,C531,8000,3,9,0,Y,
1808,C538,8000,3,9,0,Y,
1809,C539,8000,3,9,0,Y,
181,C589,8000,3,9,0,Y,
1820,C549,8000,3,9,0,Y,
1821,C540,8000,3,9,0,Y,
1828,C559,8000,3,9,0,Y,
1830,C569,8000,3,9,0,Y,
1832,C570,8000,3,9,0,Y,
1833,C571,8000,3,9,0,Y,
1834,C573,8000,3,9,0,Y,
1835,C572,8000,3,9,0,Y,
1838,C578,8000,3,9,0,Y,
1839,C574,8000,3,9,0,Y,
1840,C529,8000,3,9,0,Y,
1841,C510,8000,3,9,0,Y,
1842,C511,8000,3,9,0,Y,
1843,C512,8000,3,9,0,Y,
1844,C519,8000,3,9,0,Y,
1848,C577,8000,3,9,0,Y,
1849,C579,8000,3,9,0,Y,
185,C619,8000,3,9,0,Y,
1860,C620,8000,3,9,0,Y,
1869,C629,8000,3,9,0,Y,
1871,C600,8000,3,9,0,Y,
1872,C601,8000,3,9,0,Y,
1873,C602,8000,3,9,0,Y,
1874,C609,8000,3,9,0,Y,
1875,C630,8000,3,9,0,Y,
1876,C631,8000,3,9,0,Y,
1877,C632,8000,3,9,0,Y,
1878,C637,8000,3,9,0,Y,
1879,C639,8000,3,9,0,Y,
1880,C670,8000,3,9,0,Y,
1881,C671,8000,3,9,0,Y,
1882,C672,8000,3,9,0,Y,
1883,C673,8000,3,9,0,Y,
1884,C674,8000,3,9,0,Y,
1885,C675,8000,3,9,0,Y,
1886,C676,8000,3,9,0,Y,
1887,C677,8000,3,9,0,Y,
1888,C678,8000,3,9,0,Y,
1889,C679,8000,3,9,0,Y,
1890,C649,8000,3,9,0,Y,
1891,C659,8000,3,9,0,Y,
1892,C669,8000,3,9,0,Y,
1893,C680,8000,3,9,0,Y,
1894,C681,8000,3,9,0,Y,
1898,C688,8000,3,9,0,Y,
1899,C689,8000,3,9,0,Y,
1900,C694,8000,3,9,0,Y,
1901,C696,8000,3,9,0,Y,
1902,C695,8000,3,9,0,Y,
1903,C690,8000,3,9,0,Y,
1904,C691,8000,3,9,0,Y,
1905,C692,8000,3,9,0,Y,
1906,C693,8000,3,9,0,Y,
1907,C695,8000,3,9,0,Y,
1908,C698,8000,3,9,0,Y,
1909,C699,8000,3,9,0,Y,
1910,C710,8000,3,9,0,Y,
1911,C711,8000,3,9,0,Y,
1912,C712,8000,3,9,0,Y,
1913,C713,8000,3,9,0,Y,
1914,C714,8000,3,9,0,Y,
1915,C715,8000,3,9,0,Y,
1916,C716,8000,3,9,0,Y,
1917,C717,8000,3,9,0,Y,
1918,C718,8000,3,9,0,Y,
1919,C719,8000,3,9,0,Y,
1920,C725,8000,3,9,0,Y,
1921,C700,8000,3,9,0,Y,
1922,C720,8000,3,9,0,Y,
1923,C701,8000,3,9,0,Y,
1928,C728,8000,3,9,0,Y,
1929,C729,8000,3,9,0,Y,
193,C739,8000,3,9,0,Y,
1940,C740,8000,3,9,0,Y,
1941,C750,8000,3,9,0,Y,
1943,C751,8000,3,9,0,Y,
1944,C753,8000,3,9,0,Y,
1945,C754,8000,3,9,0,Y,
1946,C755,8000,3,9,0,Y,
1948,C758,8000,3,9,0,Y,
1949,C759,8000,3,9,0,Y,
1950,C760,8000,3,9,0,Y,
1951,C761,8000,3,9,0,Y,
1952,C762,8000,3,9,0,Y,
1953,C763,8000,3,9,0,Y,
1954,C764,8000,3,9,0,Y,
1955,C765,8000,3,9,0,Y,
1958,C768,8000,3,9,0,Y,
20000,C779,9680,3,6,0,Y,
20001,C770,9680,3,6,0,Y,
20002,C771,9680,3,6,0,Y,
20003,C772,9680,3,6,0,Y,
20004,C773,9680,3,6,0,Y,
20005,C774,9680,3,6,0,Y,
20006,C775,9680,3,6,0,Y,
20007,C422,9680,3,6,0,Y,
20008,C778,9680,3,6,0,Y,
20010,C779,9837,3,5,0,Y,
20011,C770,9591,3,6,0,Y,
20012,C771,9591,3,6,0,Y,
20013,C772,9591,3,6,0,Y,
20014,C773,9591,3,6,0,Y,
20015,C774,9591,3,6,0,Y,
20016,C775,9591,3,6,0,Y,
20017,C422,9591,3,6,0,Y,
20018,C778,9591,3,6,0,Y,
20020,C809,9687,3,6,0,Y,
20021,C770,9687,3,6,0,Y,
20022,C771,9687,3,6,0,Y,
20023,C772,9687,3,6,0,Y,
20024,C773,9687,3,6,0,Y,
20025,C774,9687,3,6,0,Y,
20026,C775,9687,3,6,0,Y,
20027,C422,9687,3,6,0,Y,
20028,C778,9687,3,6,0,Y,
20030,C809,9699,3,6,0,Y,
20031,C779,9699,3,6,0,Y,
20032,C771,9699,3,6,0,Y,
20033,C772,9699,3,6,0,Y,
20034,C773,9699,3,6,0,Y,
20035,C774,9699,3,6,0,Y,
20036,C775,9699,3,6,0,Y,
20037,C422,9699,3,6,0,Y,
20038,C778,9699,3,6,0,Y,
20040,C809,9673,3,6,0,Y,
20041,C770,9673,3,6,0,Y,
20042,C771,9673,3,6,0,Y,
20043,C772,9673,3,6,0,Y,
20044,C773,9673,3,6,0,Y,
20045,C774,9673,3,6,0,Y,
20046,C775,9673,3,6,0,Y,
20047,C422,9673,3,6,0,Y,
20048,C778,9673,3,6,0,Y,
20050,C809,9590,3,9,0,Y,
20051,C770,9590,3,9,0,Y,
20052,C771,9590,3,9,0,Y,
20053,C772,9590,3,9,0,Y,
20054,C773,9590,3,9,0,Y,
20055,C774,9590,3,9,0,Y,
20056,C775,9590,3,9,0,Y,
20057,C422,9590,3,9,0,Y,
20058,C778,9590,3,9,0,Y,
20060,C809,9714,3,5,0,Y,
